Rent,BHK,Size,Bathroom,residence_floor,residence_max_floor,Tenant_bachelors,Tenant_family,Area Type_Carpet Area,Area Type_Super Area,City_Chennai,City_Delhi,City_Hyderabad,City_Kolkata,City_Mumbai,Furnishing Status_Semi-Furnished,Furnishing Status_Unfurnished,Point of Contact_Contact Builder,Point of Contact_Contact Owner
8200,1,500,1,1,3,1,1,1,0,0,0,0,1,0,1,0,0,1
15000,2,480,2,1,3,1,1,1,0,0,0,0,1,0,0,0,0,1
20000,6,1000,2,1,1,1,1,0,1,0,0,0,1,0,1,0,0,1
6700,2,800,1,1,2,1,1,0,1,0,0,0,1,0,0,0,0,1
10000,1,435,1,2,3,1,1,0,1,0,0,0,1,0,0,1,0,1
7000,2,700,2,1,2,1,1,1,0,0,0,0,1,0,1,0,0,0
22000,2,800,1,4,4,1,1,0,1,0,0,0,1,0,0,0,0,0
6500,2,450,1,1,3,1,1,0,1,0,0,0,1,0,0,1,0,1
8500,2,550,1,2,3,1,1,1,0,0,0,0,1,0,1,0,0,0
18000,2,800,2,1,4,1,0,1,0,0,0,0,1,0,0,1,0,0
12000,2,550,2,1,2,0,1,1,0,0,0,0,1,0,1,0,0,1
9000,1,600,1,2,4,1,1,0,1,0,0,0,1,0,0,0,0,1
6000,1,500,1,1,1,1,1,0,1,0,0,0,1,0,0,1,0,1
20000,2,1000,2,1,2,1,1,0,1,0,0,0,1,0,0,0,0,1
5000,1,300,1,1,2,1,1,1,0,0,0,0,1,0,0,1,0,1
12000,2,1200,2,1,3,1,1,0,1,0,0,0,1,0,0,0,0,1
10000,2,500,1,3,4,1,1,1,0,0,0,0,1,0,1,0,0,1
18000,4,1200,2,1,2,0,1,0,1,0,0,0,1,0,0,1,0,1
15000,2,900,2,1,2,1,1,1,0,0,0,0,1,0,1,0,0,0
22000,3,1300,3,1,2,1,1,1,0,0,0,0,1,0,0,1,0,0
35000,4,1600,3,1,5,1,1,1,0,0,0,0,1,0,0,1,0,0
21000,3,1450,2,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1
25000,2,1100,2,2,2,1,0,0,1,0,0,0,1,0,0,0,0,0
180000,2,950,2,1,1,1,1,1,0,0,0,0,1,0,0,1,0,1
6000,1,600,1,8,5,1,1,1,0,0,0,0,1,0,0,1,0,1
14000,2,700,2,1,2,1,1,1,0,0,0,0,1,0,0,1,0,1
8000,3,750,1,1,2,0,1,0,1,0,0,0,1,0,0,1,0,1
8000,2,1000,1,1,1,1,1,0,1,0,0,0,1,0,0,1,0,1
6000,1,220,1,1,2,1,1,0,1,0,0,0,1,0,0,0,0,1
8000,1,300,1,1,3,1,0,1,0,0,0,0,1,0,1,0,0,0
6000,1,300,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0
20000,1,700,1,1,2,1,1,0,1,0,0,0,1,0,1,0,0,1
12000,3,800,2,1,1,1,1,0,1,0,0,0,1,0,0,1,0,1
15000,3,1600,2,1,3,1,1,0,1,0,0,0,1,0,0,1,0,1
14000,2,1000,2,1,3,1,1,1,0,0,0,0,1,0,0,1,0,1
5000,1,20,1,2,3,1,1,0,1,0,0,0,1,0,0,1,0,1
7000,2,400,1,1,2,1,1,1,0,0,0,0,1,0,0,1,0,1
3900,1,200,1,2,2,1,1,0,1,0,0,0,1,0,0,0,0,1
14000,3,840,2,1,4,1,0,1,0,0,0,0,1,0,0,1,0,1
6300,1,300,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0
13000,2,550,2,1,2,1,1,1,0,0,0,0,1,0,0,0,0,0
6800,1,300,1,1,2,1,1,1,0,0,0,0,1,0,0,1,0,0
8000,2,800,2,1,1,1,1,0,1,0,0,0,1,0,0,1,0,1
10000,2,740,1,1,6,1,0,1,0,0,0,0,1,0,0,1,0,1
18000,2,1300,2,1,1,1,1,0,1,0,0,0,1,0,0,1,0,1
8000,2,650,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,1
8000,2,490,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,1
4700,1,250,1,2,2,1,1,0,1,0,0,0,1,0,0,0,0,1
4700,1,250,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1
4500,1,450,1,1,2,1,1,0,1,0,0,0,1,0,0,1,0,1
6000,1,300,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,1
16000,2,750,2,1,3,1,1,0,1,0,0,0,1,0,0,1,0,1
4700,1,250,1,1,2,1,1,0,1,0,0,0,1,0,0,0,0,1
14000,2,751,1,3,3,1,0,1,0,0,0,0,1,0,0,1,0,1
9000,2,900,1,1,2,1,0,1,0,0,0,0,1,0,1,0,0,1
5000,2,400,1,1,3,1,1,1,0,0,0,0,1,0,1,0,0,1
17500,2,1000,2,1,2,1,1,1,0,0,0,0,1,0,1,0,0,0
8500,2,1000,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,1
15000,3,1500,2,1,1,0,1,1,0,0,0,0,1,0,1,0,0,1
12500,2,750,2,1,3,1,1,1,0,0,0,0,1,0,0,1,0,1
13000,1,1200,1,2,4,1,1,0,1,0,0,0,1,0,1,0,0,1
8000,2,700,1,1,1,1,1,0,1,0,0,0,1,0,0,1,0,1
8000,2,700,1,4,4,1,1,1,0,0,0,0,1,0,0,0,0,1
8000,2,1000,1,1,2,1,1,0,1,0,0,0,1,0,1,0,0,1
7000,2,1200,2,1,3,1,1,0,1,0,0,0,1,0,0,1,0,1
2200,2,550,1,2,3,1,1,0,1,0,0,0,1,0,0,0,0,1
8000,2,800,1,1,4,1,0,1,0,0,0,0,1,0,0,1,0,1
5500,2,280,1,1,3,1,0,0,1,0,0,0,1,0,0,1,0,1
20000,3,1100,3,1,2,1,1,0,1,0,0,0,1,0,0,1,0,1
7000,2,950,1,1,2,1,1,0,1,0,0,0,1,0,0,1,0,0
3500,1,250,1,1,2,1,1,0,1,0,0,0,1,0,0,0,0,1
5000,2,1000,1,1,2,1,0,1,0,0,0,0,1,0,0,1,0,1
20000,3,1000,2,1,2,1,1,1,0,0,0,0,1,0,1,0,0,1
7000,2,650,1,1,2,1,1,0,1,0,0,0,1,0,0,1,0,1
10000,2,700,2,1,2,1,1,0,1,0,0,0,1,0,0,1,0,1
7000,2,700,1,1,3,1,0,1,0,0,0,0,1,0,0,1,0,1
12000,3,1000,2,1,3,1,1,0,1,0,0,0,1,0,1,0,0,1
14500,2,900,2,1,4,1,0,1,0,0,0,0,1,0,0,1,0,1
6000,1,700,1,1,2,1,1,0,1,0,0,0,1,0,0,1,0,1
9500,2,700,2,1,2,1,1,0,1,0,0,0,1,0,0,1,0,1
10000,2,450,2,2,1,1,1,1,0,0,0,0,1,0,1,0,0,1
3500,1,120,1,1,3,1,1,0,1,0,0,0,1,0,0,1,0,1
9000,2,800,2,1,2,1,1,0,1,0,0,0,1,0,1,0,0,1
40000,3,1220,2,2,3,1,1,1,0,0,0,0,1,0,0,1,0,1
16500,3,1100,1,1,3,1,1,0,1,0,0,0,1,0,0,1,0,1
8000,3,700,2,1,3,0,1,1,0,0,0,0,1,0,0,1,0,1
12000,2,800,1,1,3,1,1,0,1,0,0,0,1,0,0,0,0,1
6500,2,670,1,2,2,0,1,0,1,0,0,0,1,0,0,1,0,1
40000,4,1300,3,1,2,1,1,0,1,0,0,0,1,0,0,1,0,1
5000,1,190,1,1,2,1,1,0,1,0,0,0,1,0,1,0,0,1
9000,2,700,1,1,2,1,1,0,1,0,0,0,1,0,1,0,0,1
7000,1,240,1,1,4,1,0,1,0,0,0,0,1,0,0,1,0,1
18000,2,850,1,2,4,0,1,1,0,0,0,0,1,0,1,0,0,1
9000,1,950,2,1,2,1,1,0,1,0,0,0,1,0,0,1,0,1
5500,1,450,1,1,2,1,1,1,0,0,0,0,1,0,0,0,0,1
7500,2,800,1,1,2,1,0,1,0,0,0,0,1,0,0,1,0,1
4000,2,600,1,1,2,1,1,1,0,0,0,0,1,0,0,1,0,1
10500,3,800,2,2,2,1,0,1,0,0,0,0,1,0,0,1,0,1
15000,3,1100,2,1,2,1,1,1,0,0,0,0,1,0,0,1,0,1
15000,2,800,1,1,2,1,1,1,0,0,0,0,1,0,0,0,0,1
50000,1,2200,3,2,5,1,1,0,1,0,0,0,1,0,0,0,0,1
12000,2,950,2,1,1,1,0,1,0,0,0,0,1,0,0,1,0,1
11000,2,550,1,2,3,1,1,1,0,0,0,0,1,0,0,1,0,1
12000,2,1800,2,1,1,1,0,1,0,0,0,0,1,0,0,1,0,1
8000,2,1000,1,1,2,1,1,0,1,0,0,0,1,0,0,0,0,1
18000,2,600,2,1,3,1,1,0,1,0,0,0,1,0,1,0,0,1
8000,2,750,2,2,4,1,1,1,0,0,0,0,1,0,1,0,0,1
7000,2,685,1,2,3,1,1,0,1,0,0,0,1,0,0,1,0,0
6500,1,44,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1
13000,4,1200,1,1,2,1,1,1,0,0,0,0,1,0,0,1,0,1
9000,2,500,1,1,2,1,0,1,0,0,0,0,1,0,0,1,0,1
10000,4,1110,2,2,2,1,1,1,0,0,0,0,1,0,0,1,0,1
12000,2,1000,2,1,3,1,1,0,1,0,0,0,1,0,0,1,0,1
5000,2,392,1,1,2,1,1,0,1,0,0,0,1,0,0,1,0,1
6000,2,700,1,1,2,1,1,0,1,0,0,0,1,0,0,1,0,1
5200,1,750,1,2,4,1,1,0,1,0,0,0,1,0,0,1,0,1
15000,3,1500,2,1,2,0,1,0,1,0,0,0,1,0,0,1,0,1
9000,2,900,2,1,1,1,1,0,1,0,0,0,1,0,0,1,0,1
24000,1,710,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0
5500,1,400,1,1,3,1,1,1,0,0,0,0,1,0,0,1,0,1
10000,1,700,1,1,2,1,0,1,0,0,0,0,1,0,0,1,0,1
15000,2,1000,1,1,2,1,1,1,0,0,0,0,1,0,1,0,0,1
4700,1,250,1,1,2,1,1,0,1,0,0,0,1,0,0,0,0,1
5000,1,500,1,1,3,1,1,1,0,0,0,0,1,0,1,0,0,1
5000,2,450,1,2,2,1,1,1,0,0,0,0,1,0,1,0,0,1
15000,3,1400,1,1,3,1,1,0,1,0,0,0,1,0,0,1,0,1
5000,1,500,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,1
6000,2,700,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,1
18000,3,1200,1,1,3,1,1,1,0,0,0,0,1,0,1,0,0,1
8000,2,450,1,1,2,1,0,1,0,0,0,0,1,0,0,1,0,1
13000,1,500,1,2,2,1,0,1,0,0,0,0,1,0,0,0,0,0
7500,2,400,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,1
12000,3,1000,2,1,1,1,1,0,1,0,0,0,1,0,0,1,0,1
11000,2,750,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,1
6000,1,450,1,1,2,0,1,0,1,0,0,0,1,0,0,1,0,1
20000,3,1000,2,1,2,1,0,1,0,0,0,0,1,0,0,1,0,0
7000,2,500,2,1,1,1,0,1,0,0,0,0,1,0,0,1,0,1
30000,4,1600,2,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0
7500,2,550,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,1
6500,1,550,2,1,2,1,1,0,1,0,0,0,1,0,0,1,0,1
3000,1,200,1,2,3,1,1,0,1,0,0,0,1,0,0,1,0,1
5200,2,650,1,1,2,1,0,1,0,0,0,0,1,0,0,1,0,1
